,Symbol,Name,Title,Salary
166,WMT,Mr. Casey L. Carl,"Exec. VP, Chief Omni Strategy & Operations Officer",N/A
167,WMT,Mr. Kary D. Brunner,Director of Investor Relations,N/A
168,WMT,Mr. Daniel  Trujillo,"Exec. VP, Global Chief Ethics & Compliance Officer",N/A
169,WMT,Ms. Rachel L. Brand,"Exec. VP of Global Governance, Chief Legal Officer & Corp. Sec.",N/A
170,NNDM,Mr. Yoav  Stern,Pres & CEO,N/A
171,NNDM,Mr. Amit  Dror,"Co-Founder, Customer Success Officer & Director",201k
172,NNDM,Ms. Yael  Sandler,Chief Financial Officer,170k
173,NNDM,Dr. Jaim  Nulman,CTO & Exec. VP of Products,256k
174,NNDM,Mr. Dan  Abraham,VP of Operations,N/A
175,NNDM,Mr. Ziki  Peled,COO & Chief Revenue Officer,N/A
176,NNDM,Mr. Valentin  Storz,GM of EMEA and VP of Marketing,N/A
177,NNDM,Dr. Joseph  Kaplun,CTO Â Materials and VP of R&D and Product Devel.,N/A
178,AMD,Dr. Lisa T. Su Ph.D.,"Pres, CEO & Non-Independent Director",2.27M
179,AMD,Mr. Devinder  Kumar,"Exec. VP, CFO & Treasurer",1.01M
180,AMD,Mr. Mark D. Papermaster,CTO and Exec. VP of Technology & Engineering,1.11M
181,AMD,Mr. Paul Darren Grasby,"Exec. VP, Chief Sales Officer & Pres of EMEA",1.47M
182,AMD,Mr. Richard A. Bergman,Exec. VP of Computing & Graphics Bus. Group,921.42k
183,AMD,Mr. Keivan  Keshvari,Sr. VP of Global Operations,N/A
184,AMD,Ms. Darla M. Smith,Corp. VP & Chief Accounting Officer,N/A
185,AMD,Ms. Ruth  Cotter,"Sr. VP of Worldwide Marketing, HR & Investor Relations",N/A
186,AMD,Mr. Harry A. Wolin,"Sr. VP, Gen. Counsel & Corp. Sec.",N/A
187,AMD,Mr. Robert  Gama,Sr. VP & Chief HR Officer,N/A
188,CCL,Mr. Micky Meir Arison,Exec. Chairman,1.1M
189,CCL,Mr. Arnold W. Donald,"CEO, Pres & Director",4.04M
190,CCL,Mr. David  Bernstein,CFO & Chief Accounting Officer,1.79M
191,CCL,Mr. Arnaldo  Perez,Gen. Counsel & Company Sec.,1.05M
192,CCL,Mr. Stein  Kruse,Sr. Advisor to the Chairman & CEO,1.57M
193,CCL,Mr. Michael Olaf Thamm,Group Chief Exec. Officer of Costa Group & Carnival Asia,1.92M
194,CCL,Mr. Josh  Weinstein,Chief Operations Officer,N/A
195,CCL,Mr. Gregory A. Sullivan,Chief Information Officer,N/A
196,CCL,Ms. Beth  Roberts,Sr. VP of Investor Relations,N/A
197,CCL,Mr. Peter C. Anderson,Chief Ethics & Compliance Officer,N/A
198,BAC,Mr. Brian Thomas Moynihan,"Chairman, CEO & Pres",1.83M
199,BAC,Mr. Paul M. Donofrio,Chief Financial Officer,5.85M
200,BAC,Mr. Thomas Kell Montag,COO & Pres of Global Banking and Markets,8.97M
201,BAC,Mr. Dean C. Athanasia,Pres of Consumer & Small Bus.,5.65M
202,BAC,Mr. Geoffrey S. Greener,Chief Risk Officer,5.86M
203,BAC,Ms. Catherine Pombier Bessant,Chief Operations & Technology Officer,N/A
204,BAC,Mr. Rudolf A. Bless,Chief Accounting Officer,N/A
205,BAC,Mr. Matthew M. Koder,Pres of Global Corp. & Investment Banking,N/A
206,BAC,Ms. Andrea Bradley Smith,Chief Admin. Officer,N/A
207,BAC,Mr. E. Lee McEntire,Sr. VP of Investor Relations,N/A
